id,host_neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
10988680,Mission District,Mission,37.75418395,-122.4065138,Apartment,Private room,2,1,1,1,$49.00 ,$300.00 ,,,$25.00 ,1,$0.00 ,1,1125,100,10,10,10,10,10,10
8053481,Mission District,Mission,37.75416621,-122.4215336,Apartment,Entire home/apt,4,2,2,3,$220.00 ,"$1,050.00 ",,"$1,000.00 ",$100.00 ,2,$15.00 ,3,30,96,10,10,10,10,9,9
14011173,Mission District,Mission,37.75850584,-122.4061523,House,Private room,1,1,1,1,$100.00 ,,,,,1,$0.00 ,7,1125,90,10,8,10,10,8,9
16142131,Mission District,Mission,37.75654875,-122.4220251,Apartment,Entire home/apt,4,1,1,2,$117.00 ,,,,,1,$0.00 ,4,14,100,10,10,10,10,10,8
9080622,Mission District,Mission,37.76005055,-122.4213524,Apartment,Private room,1,1,1,1,$200.00 ,,,,,1,$0.00 ,2,3,,,,,,,
936209,Mission District,Mission,37.75949488,-122.4248737,Apartment,Private room,1,1,1,1,$162.00 ,,,,$65.00 ,1,$25.00 ,2,12,96,10,9,10,10,10,9
7048973,Mission District,Mission,37.76099687,-122.4131237,Apartment,Entire home/apt,4,2,2,2,$230.00 ,"$1,400.00 ","$5,000.00 ",$400.00 ,$100.00 ,4,$0.00 ,2,1125,89,9,9,9,9,9,9
7998215,Mission District,Mission,37.75054282,-122.4165585,Apartment,Private room,2,1,1,1,$173.00 ,,,,$65.00 ,2,$35.00 ,1,30,100,10,10,10,10,10,10
12815115,Mission District,Mission,37.75628818,-122.4087377,Apartment,Entire home/apt,4,2.5,2,2,$600.00 ,,,,,1,$0.00 ,1,1125,,,,,,,
10406646,Mission District,Mission,37.75724642,-122.4093147,Apartment,Entire home/apt,4,1,2,3,$250.00 ,,"$4,500.00 ",$500.00 ,$95.00 ,4,$0.00 ,2,30,92,10,10,10,10,9,9
4558566,Mission District,Mission,37.74932935,-122.4107925,Apartment,Entire home/apt,6,2,3,4,$300.00 ,"$1,900.00 ",,,$100.00 ,1,$0.00 ,3,1125,93,10,9,10,10,9,10
2771688,,Mission,37.7513531,-122.4176588,Apartment,Entire home/apt,4,1,2,2,$189.00 ,,,$150.00 ,$95.00 ,4,$0.00 ,30,1125,92,9,9,10,10,9,9
5020057,,Mission,37.75199246,-122.4042105,House,Private room,2,1,1,1,$130.00 ,,,,,1,$0.00 ,2,1125,98,10,10,10,10,9,10
15151013,Mission District,Mission,37.76142933,-122.4193501,Apartment,Private room,2,2.5,1,1,$90.00 ,,,$150.00 ,$40.00 ,2,$25.00 ,2,1125,,,,,,,
4925354,Mission District,Mission,37.76652079,-122.4246601,Apartment,Private room,1,1.5,1,1,$95.00 ,$550.00 ,,$250.00 ,$20.00 ,1,$20.00 ,1,21,94,9,9,10,10,10,9
13863669,,Mission,37.75995514,-122.4241064,House,Entire home/apt,6,1,3,3,$325.00 ,,,,$150.00 ,6,$50.00 ,2,1125,91,9,10,10,9,9,9
5394755,Mission District,Mission,37.75870167,-122.42124,House,Private room,3,1,1,2,$119.00 ,$825.00 ,,,$60.00 ,2,$40.00 ,3,28,95,10,10,10,10,10,10
8861480,,Mission,37.76147949,-122.4157135,Apartment,Private room,2,1,1,1,$134.00 ,,,,,1,$0.00 ,3,1125,100,9,9,10,10,9,10
14139656,Mission District,Mission,37.75939066,-122.4211674,Apartment,Entire home/apt,6,2,3,3,$490.00 ,,,$400.00 ,$150.00 ,4,$30.00 ,2,28,100,10,10,10,10,10,10
7802522,Mission District,Mission,37.74961782,-122.4181314,Apartment,Private room,2,1,1,1,$140.00 ,$750.00 ,,,$25.00 ,1,$0.00 ,1,1125,100,10,10,10,10,10,10
15470227,Mission District,Mission,37.75958581,-122.4100011,House,Entire home/apt,2,1,1,1,$185.00 ,,,$500.00 ,$95.00 ,2,$0.00 ,2,1125,94,10,9,10,10,10,10
10756717,Mission District,Mission,37.75560551,-122.4067193,Apartment,Entire home/apt,3,1,1,1,$550.00 ,,,"$1,500.00 ",$90.00 ,1,$0.00 ,3,1125,,,,,,,
1117756,Mission District,Mission,37.7505213,-122.4073568,House,Private room,2,1,1,1,$113.00 ,$708.00 ,"$2,499.00 ",,$25.00 ,1,$0.00 ,2,1125,97,10,10,10,10,9,10
17588923,Mission District,Mission,37.76832743,-122.4250571,Apartment,Private room,2,1,1,1,$115.00 ,,,,$82.00 ,1,$25.00 ,1,7,,,,,,,
7228772,Mission District,Mission,37.76888719,-122.4240599,Apartment,Entire home/apt,2,1,0,1,$155.00 ,"$1,000.00 ","$3,000.00 ",,$30.00 ,1,$0.00 ,1,1125,96,10,10,10,10,10,10
15501322,Mission District,Mission,37.75134306,-122.4226501,Apartment,Private room,1,1,1,1,$45.00 ,,,,$50.00 ,1,$0.00 ,10,1125,,,,,,,
4624467,Mission District,Mission,37.75506955,-122.4168171,Apartment,Private room,2,1.5,1,1,$169.00 ,,,"$1,000.00 ",$60.00 ,2,$30.00 ,2,1125,98,10,10,10,10,10,10
856123,Mission District,Mission,37.7622065,-122.4198954,Condominium,Private room,1,1,1,1,$186.00 ,$928.00 ,"$3,276.00 ",,$65.00 ,1,$0.00 ,28,180,100,10,10,10,10,10,10
9490490,Mission District,Mission,37.753852,-122.4111577,Apartment,Private room,2,1,1,1,$77.00 ,,,,$25.00 ,1,$0.00 ,1,1125,100,9,10,10,9,9,10
865873,Mission District,Mission,37.76251893,-122.4242846,Apartment,Entire home/apt,4,2,2,2,$250.00 ,"$1,000.00 ",,"$2,000.00 ",$150.00 ,1,$20.00 ,5,1125,98,10,9,10,10,10,10
6834158,Mission District,Mission,37.76531007,-122.4246905,Apartment,Entire home/apt,3,1,0,1,$235.00 ,"$1,950.00 ","$7,200.00 ",,$62.00 ,2,$20.00 ,1,1125,96,10,9,10,10,10,9
13846498,Mission District,Mission,37.76362666,-122.4253853,House,Private room,2,1,1,1,$80.00 ,,,$100.00 ,$50.00 ,1,$10.00 ,1,1125,80,9,10,6,6,9,8
1101403,Mission District,Mission,37.7681406,-122.4253676,Condominium,Entire home/apt,5,2,2,3,$300.00 ,,,$600.00 ,$120.00 ,5,$0.00 ,2,1125,100,10,10,10,10,10,10
15566812,Mission District,Mission,37.75866765,-122.42388,Apartment,Entire home/apt,3,1,1,2,$200.00 ,,,,,1,$0.00 ,7,1125,100,10,10,10,10,10,10
16173016,Mission District,Mission,37.76148205,-122.4092539,Apartment,Entire home/apt,2,1,1,1,$200.00 ,,,$500.00 ,$100.00 ,2,$0.00 ,1,1125,95,10,10,10,10,9,9
63405,Mission District,Mission,37.75399609,-122.4177063,Apartment,Entire home/apt,2,1,1,1,$125.00 ,,"$2,500.00 ",$300.00 ,$100.00 ,1,$25.00 ,2,180,93,9,9,10,10,10,9
16857004,Mission District,Mission,37.75328433,-122.4118579,Apartment,Private room,1,3,0,1,$40.00 ,,,,,1,$0.00 ,15,28,,,,,,,
11011745,Mission District,Mission,37.75028261,-122.4156194,Apartment,Entire home/apt,8,1,3,3,$500.00 ,,,,,1,$0.00 ,1,1125,,,,,,,
17697262,Mission District,Mission,37.75813182,-122.4141177,Apartment,Private room,2,1,1,2,$79.00 ,,,$250.00 ,$10.00 ,1,$0.00 ,1,1125,100,10,10,10,10,10,9
13043340,Mission District,Mission,37.75754497,-122.4201252,Apartment,Entire home/apt,2,1,0,1,$115.00 ,,,,,1,$0.00 ,5,1125,96,10,10,10,10,10,10
2049672,Mission District,Mission,37.76249605,-122.422603,House,Entire home/apt,6,2,4,4,$575.00 ,,,,$150.00 ,6,$0.00 ,4,30,95,9,10,9,9,10,9
16272594,Mission District,Mission,37.7580424,-122.4211011,Apartment,Private room,1,1,1,1,$65.00 ,,,,,1,$0.00 ,2,35,97,10,9,10,10,10,10
10947787,Mission District,Mission,37.75788359,-122.4075305,House,Entire home/apt,10,3.5,5,6,"$2,000.00 ",,,,,1,$0.00 ,1,1125,,,,,,,
15873936,Mission District,Mission,37.75456441,-122.4125264,Apartment,Private room,1,1,1,1,$51.00 ,,,,,1,$0.00 ,9,14,,,,,,,
11259062,,Mission,37.75239754,-122.4244804,Cabin,Entire home/apt,2,1,0,1,$159.00 ,,,$500.00 ,$90.00 ,1,$0.00 ,1,30,99,10,10,10,10,10,10
7163038,Mission District,Mission,37.76911001,-122.4119345,Apartment,Private room,2,1,1,1,$120.00 ,,,,,1,$0.00 ,1,1125,,,,,,,
4533440,Mission District,Mission,37.76862344,-122.4244366,Apartment,Private room,2,1,1,1,$100.00 ,$700.00 ,"$2,500.00 ",,$20.00 ,1,$50.00 ,3,90,98,10,10,10,10,10,10
14011529,Mission District,Mission,37.76066203,-122.4208268,Apartment,Shared room,2,1,1,1,$50.00 ,,,$95.00 ,$5.00 ,1,$0.00 ,1,3,,,,,,,
3379430,Mission District,Mission,37.75826018,-122.4083304,House,Private room,2,1,1,1,$80.00 ,,,,,1,$0.00 ,1,1125,100,10,6,10,10,10,8
8029798,Mission District,Mission,37.75596136,-122.4095302,Apartment,Private room,1,1,1,1,$75.00 ,,,,,1,$0.00 ,1,1125,80,8,7,10,10,9,8
1623609,Mission District,Mission,37.75942336,-122.4075424,House,Private room,2,1,1,1,$155.00 ,"$1,125.00 ",,,$50.00 ,2,$25.00 ,3,27,98,10,10,10,10,9,10
16324639,Mission District,Mission,37.75993231,-122.4213667,Condominium,Entire home/apt,4,1,2,2,$250.00 ,,,,$75.00 ,1,$0.00 ,3,14,90,9,9,9,9,9,9
17501306,Mission District,Mission,37.77021195,-122.4228986,House,Private room,2,1,1,1,$55.00 ,,,,$20.00 ,1,$0.00 ,1,10,97,10,10,10,10,10,10
591431,Mission District,Mission,37.75065685,-122.4234918,House,Entire home/apt,6,2.5,3,3,$450.00 ,,,$397.00 ,$125.00 ,5,$30.00 ,3,20,83,8,8,10,9,10,9
9351735,Mission District,Mission,37.74944922,-122.4095556,Apartment,Entire home/apt,6,2,3,3,$250.00 ,,,$500.00 ,$125.00 ,4,$20.00 ,2,1125,92,10,10,10,10,9,9
1962559,Noe Valley,Mission,37.75375109,-122.4252011,Apartment,Entire home/apt,4,1,2,2,$150.00 ,"$1,000.00 ",,,$50.00 ,1,$0.00 ,2,15,100,10,10,8,10,10,10
6926901,Mission District,Mission,37.75641542,-122.4128513,House,Entire home/apt,4,2,2,2,$300.00 ,"$2,200.00 ",,$500.00 ,$100.00 ,2,$15.00 ,2,7,97,10,10,10,10,10,10
12366392,Mission District,Mission,37.76772249,-122.422152,Apartment,Entire home/apt,2,1,1,1,$170.00 ,,,,$50.00 ,1,$0.00 ,2,1125,100,10,10,10,10,10,10
5943416,,Mission,37.75151485,-122.4245018,Apartment,Entire home/apt,3,1,0,2,$190.00 ,"$1,200.00 ",,,$80.00 ,1,$0.00 ,2,1125,,,,,,,
1339473,Mission District,Mission,37.75440053,-122.412507,Condominium,Entire home/apt,3,1,1,1,$230.00 ,"$1,400.00 ","$5,400.00 ",$500.00 ,$180.00 ,1,$0.00 ,6,70,91,10,9,10,10,10,9
